Country,2019,2018,2017,2016,2015
Saint Vincent and the Grenadines,4.8 [3.5-6.5],4.8 [3.6-6.4],4.8 [3.7-6.3],4.8 [3.8-6.1],4.7 [3.8-5.9]
Samoa,3.5 [2.7-4.5],3.6 [2.8-4.6],3.7 [2.9-4.7],3.8 [2.9-4.8],3.9 [3.0-4.9]
San Marino,0.5 [0.4-0.7],0.5 [0.4-0.7],0.5 [0.4-0.7],0.6 [0.4-0.7],0.6 [0.5-0.8]
Sao Tome and Principe,6.0 [4.7-7.7],6.2 [4.9-8.0],6.4 [5.1-8.2],6.7 [5.3-8.6],7.0 [5.5-8.9]
Saudi Arabia,1.7 [1.4-2.2],1.8 [1.4-2.3],1.9 [1.5-2.4],2.0 [1.5-2.5],2.1 [1.6-2.6]
Senegal,10.4 [7.4-14.2],10.9 [8.1-14.4],11.6 [8.9-14.7],12.4 [10.0-15.2],13.2 [11.1-15.7]
Serbia,1.2 [1.0-1.5],1.2 [1.1-1.4],1.2 [1.1-1.4],1.3 [1.2-1.4],1.3 [1.2-1.4]
Seychelles,2.5 [1.6-3.9],2.6 [1.7-3.9],2.6 [1.8-3.9],2.7 [1.9-3.8],2.7 [2.0-3.7]
Sierra Leone,21.6 [16.8-27.5],22.4 [17.5-28.6],23.3 [18.2-29.8],24.3 [19.0-31.0],25.3 [19.8-32.3]
Singapore,0.7 [0.6-0.8],0.7 [0.6-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.7-0.9]
Slovakia,1.3 [1.1-1.4],1.3 [1.2-1.4],1.3 [1.2-1.4],1.4 [1.3-1.5],1.4 [1.3-1.5]
Slovenia,0.7 [0.6-0.8],0.7 [0.6-0.9],0.8 [0.7-0.9],0.8 [0.7-0.9],0.8 [0.7-0.9]
Solomon Islands,4.4 [3.4-5.6],4.5 [3.5-5.7],4.6 [3.6-5.9],4.7 [3.7-6.0],4.8 [3.8-6.2]
Somalia,25.4 [19.8-32.6],26.1 [20.3-33.5],26.9 [21.0-34.5],27.7 [21.7-35.6],28.6 [22.4-36.8]
South Africa,5.5 [4.6-6.5],5.8 [5.2-6.5],6.2 [5.7-6.7],6.7 [6.2-7.2],7.2 [6.7-7.7]
South Sudan,21.0 [16.3-27.0],21.0 [16.3-27.0],21.0 [16.3-27.0],21.0 [16.3-27.0],21.0 [16.3-27.0]
Spain,0.7 [0.7-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.8-0.8],0.8 [0.8-0.9]
Sri Lanka,1.7 [1.4-2.0],1.8 [1.5-2.0],1.9 [1.7-2.1],2.0 [1.9-2.2],2.3 [2.1-2.4]
Sudan,8.2 [5.0-13.2],8.4 [5.2-13.3],8.7 [5.6-13.4],9.0 [5.9-13.5],9.3 [6.2-13.5]
Suriname,2.9 [2.2-3.8],3.0 [2.3-3.8],3.1 [2.5-3.8],3.2 [2.6-3.8],3.2 [2.7-3.8]
Sweden,0.7 [0.7-0.8],0.7 [0.7-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8],0.8 [0.7-0.8]
Switzerland,0.7 [0.6-0.8],0.7 [0.6-0.8],0.7 [0.7-0.8],0.7 [0.7-0.8],0.8 [0.7-0.8]
Syrian Arab Republic,10.0 [7.5-13.4],15.6 [12.2-20.1],24.6 [19.9-30.6],30.0 [25.0-35.8],32.6 [28.1-37.7]
Tajikistan,1.5 [1.0-2.2],1.5 [1.0-2.2],1.6 [1.1-2.2],1.6 [1.2-2.2],1.7 [1.3-2.3]
Thailand,4.2 [4.0-4.4],4.2 [4.1-4.4],4.3 [4.2-4.4],4.3 [4.2-4.4],4.4 [4.3-4.5]
Timor-Leste,8.3 [6.5-10.6],8.5 [6.7-10.9],8.8 [6.9-11.2],9.0 [7.1-11.5],9.3 [7.3-11.8]
Togo,12.8 [9.2-16.9],13.3 [9.7-17.2],13.7 [10.3-17.5],14.2 [10.9-17.9],14.8 [11.6-18.3]
Tonga,2.4 [1.7-3.3],2.5 [1.8-3.4],2.6 [2.0-3.4],2.8 [2.2-3.5],2.9 [2.4-3.6]
Trinidad and Tobago,2.4 [1.7-3.2],2.4 [1.8-3.2],2.5 [1.9-3.2],2.6 [2.1-3.2],2.6 [2.2-3.2]
Tunisia,3.2 [3.0-3.5],3.3 [3.1-3.5],3.3 [3.1-3.4],3.3 [3.2-3.4],3.3 [3.1-3.4]
Turkey,1.9 [1.9-2.0],2.0 [2.0-2.1],2.1 [2.1-2.2],2.3 [2.2-2.3],2.5 [2.4-2.5]
Turkmenistan,3.7 [3.2-4.3],3.8 [3.4-4.3],3.9 [3.5-4.2],3.9 [3.7-4.2],4.0 [3.8-4.2]
Tuvalu,5.1 [4.0-6.5],5.2 [4.1-6.7],5.4 [4.2-6.9],5.5 [4.3-7.1],5.7 [4.4-7.3]
Uganda,13.9 [10.3-18.4],14.2 [10.8-18.5],14.6 [11.3-18.7],15.0 [11.8-18.9],15.4 [12.3-19.1]
Ukraine,1.7 [1.6-1.8],1.8 [1.7-1.8],1.9 [1.8-1.9],1.9 [1.9-2.0],2.0 [2.0-2.1]
United Arab Emirates,1.9 [1.5-2.4],1.9 [1.5-2.5],1.9 [1.5-2.5],2.0 [1.5-2.5],2.0 [1.5-2.5]
United Kingdom of Great Britain and Northern Ireland,0.8 [0.7-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.8],0.8 [0.8-0.9]
United Republic of Tanzania,11.5 [7.7-21.2],11.7 [8.1-20.8],12.0 [8.5-20.3],12.2 [8.9-19.7],12.5 [9.3-18.7]
United States of America,1.4 [1.3-1.5],1.4 [1.3-1.4],1.4 [1.3-1.4],1.3 [1.3-1.4],1.3 [1.3-1.3]
Uruguay,1.6 [1.5-1.8],1.7 [1.5-1.8],1.7 [1.6-1.8],1.8 [1.7-1.9],1.8 [1.7-1.9]
Uzbekistan,3.8 [3.4-4.2],3.8 [3.6-4.1],3.9 [3.7-4.0],3.9 [3.8-4.0],3.9 [3.8-4.0]
Vanuatu,5.4 [4.2-6.9],5.5 [4.3-7.1],5.7 [4.4-7.2],5.8 [4.5-7.4],5.9 [4.6-7.5]
Venezuela (Bolivarian Republic of),3.5 [3.1-3.8],3.5 [3.2-3.7],3.5 [3.3-3.6],3.5 [3.3-3.6],3.4 [3.4-3.5]
Viet Nam,2.5 [1.7-3.8],2.6 [1.8-3.8],2.7 [1.9-3.8],2.8 [2.0-3.9],2.9 [2.2-4.0]
