,Country,Year,Life expectancy,Children out of primary school,Deaths(HIV/AIDS),Incidence(HIV/AIDS),Prevalence(HIV/AIDS),Disability-Adjusted Life Years,Maternal mortality,Child mortality
77,AUS,1995,78.267,90586,520.7490682021806,769.0,937.178045554,23016.83515682517,8.0,0.7000000000000001
78,AUS,1996,78.508,83683,488.4648983166823,783.167732045,931.722587824,22900.184477921823,8.0,0.68
79,AUS,1997,78.759,92003,241.62495211561475,825.046823201,937.213022947,22595.43404705865,9.0,0.66
80,AUS,1998,79.024,94207,193.2758323070368,878.378900161,951.471788414,22319.7812908744,8.0,0.6400000000000001
81,AUS,1999,79.302,102095,171.2966857931782,927.223911109,970.4821721550002,22050.31263176697,9.0,0.63
82,AUS,2000,79.592,104354,163.35872464296258,955.0,989.462563601,21715.463709547254,9.0,0.6200000000000001
83,AUS,2001,79.886,32273,147.6247233442916,956.891958803,1011.8069256500002,21275.058718513643,8.0,0.61
84,AUS,2002,80.174,31396,134.45848267110753,945.363236218,1041.4245975600002,21022.4360815737,8.0,0.6000000000000001
85,AUS,2003,80.451,47806,136.05999810993436,927.921343781,1076.91403576,20685.366291723705,8.0,0.5900000000000001
86,AUS,2004,80.711,39973,145.6080566805824,911.979186807,1115.45395456,20382.8687778174,7.0,0.58
87,AUS,2005,80.952,25452,117.29355217964977,907.0,1153.9659332600002,20128.983105303974,7.0,0.5700000000000001
88,AUS,2006,81.174,21617,135.13859085493326,915.877979627,1190.34838628,19891.733912047148,7.0,0.5599999999999999
89,AUS,2007,81.381,18579,124.5858499266134,934.624872995,1224.45615885,19859.573215098146,7.0,0.54
90,AUS,2008,81.577,16931,96.99951933405234,960.984566796,1258.94587833,19753.707560621413,7.0,0.52
91,AUS,2009,81.764,13008,104.04033026759896,991.724276285,1295.70205063,19667.48760695024,7.0,0.5
92,AUS,2010,81.944,9666,85.83656703937298,1025.0,1336.5389373,19446.67321978753,6.0,0.48
93,AUS,2011,82.119,44871,104.11063717044496,1061.39247661,1380.61905229,19254.18301952101,7.0,0.4599999999999999
94,AUS,2012,82.291,39575,77.8189037792031,1104.26376784,1424.53481251,18929.93026545406,6.0,0.43
95,AUS,2013,82.46,1212,72.3116828165539,1153.74827118,1469.04471044,18859.460383328937,6.0,0.42
96,AUS,2014,82.627,1742,71.780743664108,1208.2969737,1513.41836112,18911.29118930156,6.0,0.4
97,AUS,2015,82.794,1861,70.52827651102002,1267.78822015,1557.2318211800002,18987.839264328544,6.0,0.38
98,AUT,1999,77.957,429,56.99302567063573,545.701255372,608.332405631,22409.211949624176,5.0,0.5599999999999999
99,AUT,2000,78.239,1024,49.36060969414024,578.533688435,652.216463522,22234.042399446866,5.0,0.55
100,AUT,2001,78.518,4843,50.41956273916222,588.470528058,701.358638319,21756.842932301646,5.0,0.54
101,AUT,2002,78.791,12977,53.797010751366905,592.293201215,758.9350368360001,21509.23424250782,5.0,0.53
102,AUT,2003,79.059,14524,50.53740162042365,593.08703909,821.72690687,21412.175406113267,5.0,0.52
103,AUT,2004,79.318,12779,56.994071907616245,593.048588768,884.9649496190001,21053.901783654383,4.0,0.51
104,AUT,2005,79.567,10103,65.83288366870477,595.550964899,943.431016998,20819.65792713667,5.0,0.49
105,AUT,2006,79.806,9370,42.63274943499728,605.604317285,997.896757761,20341.02854420797,4.0,0.48
106,AUT,2007,80.032,8872,59.1280416793696,619.195606964,1050.6306674900002,20232.55211354848,4.0,0.4599999999999999
107,AUT,2008,80.246,9671,47.05983446417193,633.781293726,1101.73374164,20057.02128857716,4.0,0.4599999999999999
108,AUT,2009,80.444,8421,40.01178925624103,645.02265757,1149.2616991000002,20219.93499008524,4.0,0.45
109,AUT,2010,80.622,7641,45.89160460680392,650.799207671,1193.57587303,20048.121319252725,4.0,0.43
110,AUT,2011,80.776,9350,41.65131848321506,654.776702409,1241.22019964,19772.136826408583,4.0,0.42
111,AUT,2012,80.906,5423,39.02194290700998,658.743397028,1294.83601259,19487.33647983676,4.0,0.41
112,AUT,2013,81.013,3318,50.78824828936307,665.536846718,1355.33385556,19279.1308498312,4.0,0.39
113,AUT,2014,81.103,2102,42.83745187306202,673.445150896,1420.09439184,19107.356875960664,4.0,0.37
114,AUT,2015,81.182,1512,44.494905707314,681.281274355,1487.54926394,18994.10175569588,4.0,0.36
115,AZE,1991,64.745,17399,17.575619601302783,62.1124405378,35.7064052268,44092.04528218062,65.0,9.49
116,AZE,1992,64.731,18109,20.71955322618181,64.2567499922,39.1681381173,48188.46028015634,83.0,9.53
117,AZE,1993,64.81,42450,24.012451553630225,66.3058170572,42.7328083,48273.35567743208,82.0,9.56
118,AZE,1994,64.991,85323,27.39610017740065,68.3675650503,46.419101353200006,50388.250170447456,92.0,9.54
