country,year,gov_exp_pre_primary (% of GDP),gov_exp_primary (% of GDP),gov_exp_secondary (% of GDP),gov_exp_tertiary (% of GDP),gov_exp_pre_primary (US $ millions),gov_exp_primary (US $ millions),gov_exp_secondary (US $ millions),gov_exp_tertiary (US $ millions),gov_exp_all_levels (US $ millions),all_staff_compensation_primary,capital_exp_primary,oecd,gdp,population,gov_exp_primary_per_person (US dollars)
AZE,2018,0.21661,1.5481542187500001,1.6556021875000002,0.44977,102.05006,684.0632680208332,747.3281015625,211.89918,1156.82582,77.6427527734375,6.074597907986111,0,47112941176.4706,9939771.0,68.82082776563296
BGD,2010,0.0,0.987815,0.97565,0.26036,0.0,1203.55631,999.81977,266.80755,3072.9064875,96.73236,0.0,0,115279077465.226,147575440.0,8.155532587265197
BGD,2011,0.0,1.00529,0.8775,0.21953,0.0,1158.89108,1011.5718,253.06852,2458.55646,96.42046,0.0,0,128637938711.386,149273140.0,7.763560886132922
BGD,2012,0.0,0.97034,0.8506,0.32053,0.0,1248.22154,1094.19719,412.32069,2798.52071,97.04426,0.0,0,133355749482.478,151005730.0,8.266054251928773
BGD,2016,0.0,0.987815,0.98778,0.51099,0.0,1203.55631,2187.1023,1131.40069,3399.90854,96.73236,0.0,0,221415188000.475,157977150.0,7.618546699715158
BGD,2019,0.0,0.987815,0.83613,0.45645,0.0,1203.55631,2291.32184,1250.85144,3634.64024,96.73236,0.0,0,302571320445.75,163046180.0,7.381689896241418
BRB,2010,0.17916216931216933,1.46593,1.79437,1.96803,6.025632063492064,69.11846,80.12745,87.8822,270.35912,78.99769,8.01146,0,4530000000.0,282131.0,244.98711591423844
BRB,2012,0.17916216931216933,1.46593,1.57528,1.5905,6.025632063492064,69.11846,73.36888,74.07734,245.11194,78.99769,8.01146,0,4610000000.0,283698.0,243.6339346770157
BRB,2013,0.17916216931216933,1.46593,1.28005,1.90621,6.025632063492064,69.11846,59.01012,87.87647,237.36864,78.99769,8.01146,0,4677000000.0,284294.0,243.12317530443835
BRB,2014,0.17916216931216933,1.46593,1.38082,2.41297,6.025632063492064,69.11846,64.58115,112.85461,287.33167,78.99769,8.01146,0,4696500000.0,284825.0,242.66992012639338
BRB,2016,0.17916216931216933,1.46593,1.94623,1.53923,6.025632063492064,69.11846,91.76461,72.57479,233.45786,78.99769,8.01146,0,4830000000.0,285798.0,241.84374978131407
BLR,2010,0.99136,1.253927397260274,2.41949,0.89406,567.27995,921.2674047945205,1324.10181,511.60443,2987.03439,74.9928101217656,7.106895205479453,0,57222490768.7143,9483836.0,97.14079880699335
BLR,2011,0.98597,1.253927397260274,2.41949,0.81028,608.91256,921.2674047945205,1324.10181,500.40985,2893.22513,74.9928101217656,7.106895205479453,0,61757788944.7236,9461643.0,97.36864990515078
BLR,2017,1.14853,1.253927397260274,2.41949,0.79014,628.55204,921.2674047945205,1324.10181,432.41532,2624.13606,74.9928101217656,7.106895205479453,0,54726595249.1849,9458989.0,97.39596956868441
BEL,2010,0.61049,1.530562,2.79354,1.42822,2936.18094,7647.942542,14572.29878,6869.02389,30985.73025,82.06013800000001,6.367972,1,480951629493.033,10895586.0,701.9303543655201
BEL,2011,0.6148,1.530562,2.79354,1.41486,3213.22911,7647.942542,14572.29878,7394.71945,33616.48749,82.06013800000001,6.367972,1,522645519183.591,11038264.0,692.8573679701808
BEL,2013,0.70568,1.54839,2.79354,1.44836,3681.13865,8077.03919,14572.29878,7555.25179,34587.69274,80.8521,8.05028,1,521642714407.843,11159407.0,723.7874906793884
BEL,2014,0.69862,1.52317,2.79354,1.4826,3735.35276,8144.05628,14572.29878,7927.16042,35237.80252,81.77912,5.80229,1,534678075827.361,11209057.0,726.5603413382589
BEL,2015,0.68944,1.51842,2.79354,1.42765,3186.24791,7017.36224,14572.29878,6597.89071,29815.92584,82.96836,5.68146,1,462149679343.822,11274196.0,622.426844450815
BEL,2016,0.69632,1.53812,2.79354,1.43948,3313.76937,7319.93538,14572.29878,6850.47867,30740.99927,82.3416,6.24853,1,475739588764.759,11331422.0,645.985594747067
BEL,2017,0.68417,1.52471,2.79354,1.45121,3446.75943,7681.31962,14572.29878,7311.03197,32304.33574,82.35951,6.0573,1,501522868356.441,11375158.0,675.2714661194157
BLZ,2010,0.10185,3.09466,2.76379,0.58234,1.3417,40.766,36.40745,7.67115,88.52,74.17400507142857,11.778201508928573,0,1377177100.0,322465.0,126.41992154187274
BLZ,2012,0.2618066666666667,2.48381,2.52169,0.60392,4.474201666666667,36.2835,36.8369,8.822,114.73582714285713,74.17400507142857,11.778201508928573,0,1522897506.07849,338001.0,107.34731554048656
BLZ,2013,0.09241,2.5729,2.45055,0.87183,1.40737,39.18269,37.31939,13.27716,97.85183,74.17400507142857,11.778201508928573,0,1579411253.00514,345707.0,113.34074809014571
BLZ,2014,0.2618066666666667,2.50282,2.60107,0.85913,4.474201666666667,39.52951,41.08135,13.56902,104.47312,74.17400507142857,11.778201508928573,0,1667335060.96064,353366.0,111.86562940407397
BLZ,2015,0.33554,2.26665,2.83644,0.81383,5.57931,37.68985,47.16428,13.53233,114.54848,74.17400507142857,11.778201508928573,0,1721700991.46912,360926.0,104.4254223857522
BLZ,2016,0.34852,2.40627,3.03605,0.73295,6.00786,41.47925,52.33537,12.63455,125.57487,74.17400507142857,11.778201508928573,0,1789304087.78561,368399.0,112.59327522604568
BLZ,2017,0.34117,2.35666,3.00046,0.7113,6.05608,41.83299,53.26121,12.62625,133.30812,74.17400507142857,11.778201508928573,0,1858529676.71857,375775.0,111.32456922360456
BLZ,2018,0.35135,2.36524,3.04738,0.7126,6.45289,43.43995,55.96823,13.08757,138.87437,74.17400507142857,11.778201508928573,0,1915899786.96407,383071.0,113.39921320068605
BEN,2010,0.09389,1.94396,1.02975,0.57423,8.95306,185.36361,98.18996,54.75508,350.89737,79.64814,14.69004,0,9535344283.47295,9199254.0,20.14985236846379
BEN,2012,0.07648,1.82121,0.78261,0.88171,8.52111,202.90759,87.19342,98.23479,396.8569,62.70451,13.61892,0,11141358945.1349,9729254.0,20.85541090817446
BEN,2013,0.08225,1.66803,0.87725,0.69997,10.29617,208.802,109.81334,87.62069,416.53221,71.85146,9.21566,0,12517845732.2095,10004594.0,20.870612040828444
BEN,2014,0.1341,1.54742,0.83003,0.64342,17.81392,205.56785,110.2654,85.47581,420.02932,74.72817,7.24346,0,13284528654.0574,10286839.0,19.983578045695086
BEN,2015,0.13666,1.58042,0.75312,0.70278,15.56315,179.98077,85.76603,80.03414,361.3441,70.03966,9.02267,0,11388160958.249,10575962.0,17.017910049222948
BTN,2010,0.0,1.23466,2.22226,0.62328,0.0,15.23593,27.42303,7.69131,50.8998,31.831180000000003,7.513405,0,1547991317.81183,685502.0,22.225945365586096
BTN,2011,0.0,1.50163,2.70375,0.52604,0.0,23.24508,41.85383,8.14311,73.76536,31.831180000000003,7.513405,0,1777101316.67756,693297.0,33.52831470495329
BTN,2013,0.0,1.24872,3.12223,0.59122,0.0,22.2433,55.61576,8.933066666666667,101.93822,27.27728,2.42323,0,1756215665.09323,710235.0,31.318225657704843
BTN,2014,0.0,1.9326,3.36566,0.62434,0.0,33.94069,59.10819,10.96478,106.16149,31.831180000000003,7.513405,0,1907090813.45906,719053.0,47.20193087296764
BTN,2015,0.0,1.4794025000000002,3.14922,0.59122,0.0,23.666249999999998,60.05845,8.933066666666667,144.75006,36.38508,12.60358,0,2003598212.99135,727885.0,32.513721260913464
BRA,2010,0.42993,1.76954,2.52303,0.9263,9496.51376,39086.89177,55730.55196,20460.83106,124774.78854,64.84005,5.84243,0,2208838108577.09,195713630.0,199.71471261644155
BRA,2011,0.50679,1.68023,2.5886,0.96178,13258.73804,43958.25323,67723.02965,25162.1455,150102.16643,67.88981,5.6826,0,2616156606666.62,197514540.0,222.5570448624786
BRA,2012,0.46836,1.6728,2.58316,1.01311,11377.6259,41237.77175,63679.78957,24975.0173,144339.2393,66.57703,8.64864,0,2465228293894.01,199287300.0,206.92624456101808
BRA,2013,0.46836,1.63935,2.62737,1.08613,11377.6259,40537.89017,64969.81865,26857.94954,144383.41775,68.68708,5.28061,0,2472819362216.69,201035900.0,201.64502640284593
BRA,2014,0.46836,1.59531,2.56348,1.14653,11377.6259,39180.68168,62958.82618,28158.72795,146094.24431,67.95601,6.00119,0,2456043766028.73,202763740.0,193.23317328368134
BRA,2015,0.46836,1.59865,2.58198,1.33896,11377.6259,28811.13078,46532.744,24130.86898,112477.25841,73.18647,3.90472,0,1802211999538.68,204471760.0,140.9051830922764
BRA,2016,0.46836,1.62088,2.57073,1.3849,11377.6259,29106.18966,46162.61016,24868.56192,113381.15429,74.74877,3.03821,0,1795693265810.23,206163060.0,141.1804337048632
BRA,2017,0.46836,1.57747,2.51894,1.52052,11377.6259,32540.5048,51961.50287,31365.70149,130423.56723,75.81017,2.2319,0,2063514688761.98,207833820.0,156.56982185921768
BGR,2010,0.87472,0.76046,1.6685,0.57489,440.53608,382.9931,840.31136,289.53499,1955.2985,68.0192,3.86434,0,50682061053.2016,7395599.0,51.7866233688441
BGR,2011,0.81779,0.65981,1.4768,0.60544,469.1134,378.48916,847.14753,347.30395,2045.83434,68.41069,3.11631,0,57678241023.818,7348328.0,51.50684073982545
BGR,2012,0.8499,0.65104,1.36851,0.62228,459.06176,351.65375,739.18463,336.11629,1887.69974,69.6231,4.18563,0,54300857424.4415,7305888.0,48.13292374588825
BGR,2013,1.0324,0.80247,1.58535,0.64845,573.92237,446.1041,881.31583,360.48453,2264.90364,69.48285,6.08225,0,55810138436.4821,7265115.0,61.40358411394727
BGR,2017,0.93723,0.80885,1.53017,0.81031,552.49726,476.81763,902.03688,477.67675,2412.53529,74.80273,4.00113,0,59199447421.4924,7075947.0,67.38569833832842
BFA,2010,0.0,2.11329,0.63047,0.65985,0.0,213.64528,63.73806,66.70818,354.06229,90.16758,0.0,0,10109618964.2848,15605211.0,13.690637057070232
BFA,2011,0.00017,2.49636,0.75971,0.61019,0.02078,301.56749,91.77505,73.71285,481.41808,50.97396,9.0797,0,12080296644.0643,16081915.0,18.751963929668825
BFA,2012,0.00024,2.18447,0.65957,0.63059,0.03024,274.39179,82.84894,79.20833,452.59342,55.86934,12.68328,0,12561016091.4673,16571252.0,16.55830169018008
BFA,2013,0.00044,2.4414,0.61912,0.88686,0.0595,328.22912,83.2369,119.23201,548.9901,50.94048,10.07751,0,13444301139.1384,17072792.0,19.225274928670135
BFA,2014,0.0014,2.65125,0.68498,0.49813,0.19454,369.66382,95.50684,69.45386,565.15282,51.14302,10.51602,0,13943016923.9017,17586028.0,21.020313398795906
BFA,2015,0.0027,2.12381,0.81075,0.50104,0.31998,251.29212,95.92937,59.28436,434.25034,76.11984,4.22227,0,11832159275.603,18110616.0,13.87540434847716
BFA,2016,0.02392,2.3350966666666673,0.96086,1.51696,3.06657,289.79827000000006,123.20665,194.51361,472.7445083333333,78.49664,2.42415,0,12833363370.174,18646350.0,15.541822930493103
BDI,2010,0.00158,3.07716,1.89146,1.22182,0.03207,62.53201,38.43702,24.82906,137.6823,74.73889,11.91152,0,2032135246.50004,8675606.0,7.207797357325816
BDI,2011,0.00147,3.1407,1.7287,1.10333,0.03278,70.22036,38.65054,24.66847,141.28718,86.09844,4.00432,0,2235820867.82743,8958406.0,7.8384882310536055
BDI,2012,0.00163,2.71359,1.49361,1.26929,0.03802,63.31632,34.85044,29.61638,143.91526,80.418665,1.87616,0,2333308099.46249,9245992.0,6.847974776530198
BDI,2013,0.00166,2.72369,1.60778,1.45289,0.04069,66.77465,39.41685,35.61954,146.98365,80.418665,5.930666666666666,0,2451625332.74584,9540302.0,6.999217634829589
CPV,2011,0.057238,2.17571,1.87495,0.83574,0.9993299999999999,40.59684,34.98495,15.59427,94.10958,88.3466675,2.8382074999999998,0,1865915544.12445,498858.0,81.37955089424246
CPV,2013,0.03469,1.92049,2.01461,0.79123,0.64196,35.53808,37.27982,14.64143,92.55018,96.16197,2.29773,0,1850470042.43281,511740.0,69.44557783249306
CPV,2014,0.07942,2.1303,1.88654,0.86761,1.47708,39.62151,35.08767,16.13659,92.32285,87.3217,2.92025,0,1859898513.26858,518276.0,76.44866827713419
CPV,2015,0.06248,2.07767,2.08519,0.97034,0.9977,33.17625,33.29636,15.49445,84.10203,83.79303,2.99933,0,1596800287.16405,524740.0,63.22416815946945
CPV,2016,0.05598,2.0671,2.16029,0.93301,0.931,34.3758,35.92558,15.51588,87.95259,86.10997,3.13552,0,1662998677.88425,531140.0,64.72078924577325
CPV,2017,0.05362,1.97396,2.06899,0.88873,0.94891,34.93494,36.61679,15.72857,91.70597,88.3466675,2.8382074999999998,0,1768319144.00218,537499.0,64.99535813089885
KHM,2010,0.02641,0.76632,0.65138,0.08968,2.96921,86.15235,73.22939,10.08159,172.43255,36.64749,0.0,0,11242275198.9783,14312205.0,6.01950223602862
KHM,2011,0.02923,0.74687,0.65392,0.08067,3.7507,95.81985,83.89521,10.34931,193.81508,32.69467,0.09405,0,12829541141.0127,14541421.0,6.589441980945328
KHM,2012,0.03192,0.76869,0.6882,0.09847666666666666,4.48579,108.03462,96.72245,13.159533333333334,219.37612,59.42637,0.0,0,14054443213.4639,14780454.0,7.309289687583345
KHM,2013,0.05448,1.01919,0.85178,0.12508,8.29648,155.20209,129.70947,19.0477,312.25574,42.92284333333333,0.031349999999999996,0,15227991395.2201,15026330.0,10.328675731199835
KHM,2014,0.05027,0.92518,0.84111,0.09847666666666666,8.39602,154.52853,140.4879,13.159533333333334,318.91854,42.92284333333333,0.031349999999999996,0,16702610842.4025,15274506.0,10.116761222916145
CMR,2010,0.11659,1.02269,1.57883,0.27071,30.50978,267.63058,413.16832,70.8428,783.42069,80.24562,12.45796,0,27507499709.071,20341236.0,13.157046110668988
CMR,2011,0.0923,0.90475,1.35211,0.41761,27.11275,265.7744,397.18961,122.674,812.75076,85.90784,12.879733333333334,0,30630912184.7789,20906392.0,12.712590484288251
CMR,2012,0.09398,0.97618,1.41745,0.20957,27.35071,284.0964,412.51855,60.98937,784.95502,80.39567,14.74491,0,30155064574.0734,21485268.0,13.222846463911925
CMR,2013,0.11088,0.93778,1.4494633333333333,0.28254,35.87941,303.44213,407.6254933333333,91.42196,895.65764,78.86943,11.43633,0,33728622819.0912,22077300.0,13.744530807662171
TCD,2010,0.00734,1.02306,0.54317,0.39161,0.78342,109.14151,57.94554,41.77696,211.43535,76.693465,33.58753,0,10668102734.8132,11952134.0,9.131550064616075
