country,year,adj_enrollment,out_school_percentage,out_school,first_grade_percentage,overage_percentage,grade_5_percentage,last_grade,completion_rate,pupils,repeater_percentage,enrollment_gross_percentage,enrollment_net_percentage
LIC,2009,78.23777,24.6205806732178,19901732.0,124.8,,57.2123546849469,51.7710609436035,62.5748901367188,79508152.0,11.14885,98.3601379394531,78.17549
LIC,2010,77.9486,24.8363609313965,20641500.0,124.5753,,,51.5664482116699,62.9040908813477,81677144.0,10.84129,98.2759399414063,
LIC,2011,79.20395,23.266170501709,19848510.0,127.8653,,60.7108236932139,53.8744010925293,62.5063018798828,84111376.0,10.62401,98.5942687988281,
LIC,2012,80.09367,22.6016101837158,19770078.0,126.2708,,,50.3204612731934,63.1182403564453,87283208.0,10.66859,99.7841873168945,
LIC,2013,80.46479,21.8002605438232,19550124.0,127.1964,,,48.9232215881348,62.0807418823242,89404992.0,10.48957,99.6951293945313,
LIC,2014,81.11253,21.380199432373,19901330.0,128.3034,,,48.776180267334,62.7863311767578,93501216.0,9.82963,100.449310302734,
LIC,2015,80.75827,22.0736694335938,21009368.0,126.8801,,,49.0363998413086,62.997501373291,94495152.0,9.51195,99.2821426391602,80.71093
LIC,2016,81.0466,21.7443103790283,21142232.0,126.6702,,,48.4741516113281,63.9305114746094,97619864.0,9.39824,100.399841308594,80.90068
LIC,2017,80.82132,21.5416297912598,21404156.0,125.5735,,,50.3818893432617,64.5436935424805,100683784.0,9.42059,101.330467224121,80.80115
LIC,2018,80.48845,21.1684398651123,21486156.0,124.3246,,,50.218391418457,65.6172637939453,104238344.0,9.25912,102.696983337402,
LIC,2019,,20.8257694244385,21575852.0,,,,50.4704399108887,66.0127792358398,107360696.0,,103.628311157227,
LIC,2020,,20.6951808929443,,,,,,66.7073593139648,,,,
LIE,2000,,,,,,,,,,,,
LIE,2001,,,,,,,,,,,,
LIE,2002,,,,,,,,,,,,
LIE,2003,99.22854,0.723980009555817,15.0,104.66667,1.98377,,,90.3890228271484,2218.0,0.0,106.124397277832,94.48077
LIE,2004,99.43185,0.425289988517761,9.0,92.90954,2.78023,,,109.020622253418,2266.0,0.0,109.152221679688,95.6222
LIE,2005,94.14293,4.77909994125366,100.0,86.18267,2.31936,,,106.310676574707,2242.0,0.0,106.812767028809,90.54969
LIE,2006,98.85167,1.10047996044159,23.0,96.42857,2.26969,,,101.781173706055,2247.0,0.0,107.511962890625,95.07177
LIE,2007,98.90215,1.09784996509552,23.0,106.23441,2.89661,81.8286972045898,81.8286972045898,102.869758605957,2244.0,0.0,107.112167358398,95.179
LIE,2008,99.2176,0.782400012016296,16.0,116.04938,2.64133,83.222900390625,83.222900390625,103.649642944336,2158.0,0.0,105.525672912598,93.49633
LIE,2009,98.5204,1.47959995269775,30.0,122.66667,2.53165,79.3987503051758,79.3987503051758,94.5945892333984,2133.0,0.0,105.698707580566,91.85695
LIE,2010,99.18492,0.764209985733032,15.0,111.48825,2.70924,76.6015319824219,,111.053977966309,2067.0,0.0,105.459182739258,93.53901
LIE,2011,98.69724,1.25065004825592,24.0,126.0745,1.73784,75.0723724365234,75.0723724365234,100.742568969727,2014.0,0.0,104.950500488281,91.97499
LIE,2012,98.47929,1.52070999145508,29.0,117.82946,2.07071,,,102.238807678223,1980.0,0.0,103.828002929688,91.08547
LIE,2013,,,,105.94315,,,,,,,,
LIE,2014,97.49867,2.34167003631592,44.0,106.81199,1.81441,96.6898498535156,96.6898498535156,92.2480621337891,1929.0,3.57698,102.660987854004,90.68654
LIE,2015,99.80767,0.0334899984300137,1.0,94.59459,1.41629,97.2816314697266,97.2816314697266,105.747131347656,1977.0,3.19917,105.665420532227,94.30104
LIE,2016,99.31079,0.324479997158051,6.0,104.45682,1.7017,98.1160888671875,98.1160888671875,100.251892089844,1998.0,3.62986,105.491020202637,92.1204
LIE,2017,,0.158690005540848,3.0,94.45783,1.79551,97.5291595458984,97.5291595458984,90.4392776489258,2005.0,3.61691,104.699737548828,
LIE,2018,,0.14877000451088,3.0,,,90.1269912719727,90.1269912719727,107.32984161377,1999.0,,106.329788208008,
LIE,2019,,0.0796599984169006,2.0,,,,,94.459098815918,1979.0,,103.830009460449,
LIE,2020,,,,,,,,,,,,
LKA,2000,,,,,,,,,,,,
LKA,2001,99.88005,0.119949996471405,1967.0,101.45993,5.80681,97.7851409912109,97.7851409912109,107.295249938965,1767650.0,1.4061,107.794708251953,99.72458
LKA,2002,99.92302,0.0769800022244453,1255.0,100.35118,4.83923,98.060432434082,98.060432434082,112.619331359863,1729014.0,,106.045532226563,99.92302
LKA,2003,99.61839,0.381610006093979,6193.0,97.52123,3.07687,,,105.204330444336,1667994.0,0.81031,102.780822753906,99.61839
LKA,2004,96.84556,3.15443992614746,51040.0,,0.0,,,,1580072.0,,97.6526718139648,96.84556
LKA,2005,97.19208,2.80791997909546,45427.0,97.41561,2.38338,98.7358627319336,98.7358627319336,101.165756225586,1610778.0,0.80452,99.5650863647461,97.19208
LKA,2006,96.65802,3.34197998046875,54462.0,98.65989,2.39663,98.6328964233398,98.6328964233398,100.195587158203,1611763.0,0.94933,98.9033737182617,96.53303
LKA,2007,96.2707,3.72930002212524,61528.0,98.82236,2.17579,,,97.4768295288086,1621617.0,0.80821,98.2885208129883,96.14996
LKA,2008,95.40908,4.59091997146606,76994.0,,1.92046,,,92.4948272705078,1631430.0,0.82406,97.2772521972656,95.40908
LKA,2009,93.20634,6.79366016387939,115909.0,,1.60834,,,92.3651580810547,1619244.0,0.87424,94.9072036743164,93.07299
LKA,2010,94.84982,5.15017986297607,89067.0,97.48596,1.55979,97.3305130004883,97.3305130004883,98.9121932983398,1720806.0,0.73198,99.503288269043,94.73654
LKA,2011,94.98098,5.01902008056641,87520.0,97.75178,1.48403,96.5749130249023,96.5749130249023,100.13207244873,1735475.0,0.70741,99.5245895385742,94.87746
LKA,2012,95.23607,4.76392984390259,83509.0,100.48592,1.49537,98.4725875854492,98.4725875854492,97.2562789916992,1752137.0,0.80245,99.9539108276367,95.23607
LKA,2013,96.50756,3.49243998527527,61328.0,101.7889,1.18156,98.2640228271484,98.2640228271484,98.3114166259766,1767322.0,0.79142,100.643608093262,96.37795
LKA,2014,97.41952,2.58048009872437,45261.0,101.15043,1.15523,99.1807022094727,99.1807022094727,98.105110168457,1777822.0,0.88648,101.359657287598,97.26222
LKA,2015,99.06271,0.937290012836456,16394.0,97.68594,1.57184,98.3890228271484,98.3890228271484,99.0514678955078,1778176.0,0.9305,101.661468505859,98.91893
LKA,2016,99.06007,0.939930021762848,16400.0,96.06875,0.90781,98.4699401855469,98.4699401855469,101.109268188477,1770517.0,0.85275,101.47403717041,98.90304
LKA,2017,99.28454,0.715460002422333,12419.0,98.78455,0.93695,,,102.390380859375,1746843.0,0.99391,100.632713317871,99.09921
LKA,2018,99.27348,0.539619982242584,9296.0,,0.9473,98.8301391601563,98.8301391601563,,1725424.0,,100.162017822266,99.10711
LKA,2019,,,,,,,,99.2629776000977,1710466.0,,100.230056762695,
LKA,2020,,,,,,,,,,,,
LMC,2000,,19.0403995513916,58115184.0,113.3806,,,68.2870025634766,75.0764694213867,291797984.0,4.91033,95.602409362793,78.07473
LMC,2001,,18.2711296081543,55956744.0,113.4868,,70.8028267877427,70.1485366821289,76.2311706542969,293362976.0,4.70492,95.7895965576172,78.28473
LMC,2002,,17.6987800598145,54521856.0,111.9394,,,69.9519882202148,77.7780990600586,297505440.0,4.54325,96.5756530761719,78.17578
LMC,2003,,15.2035503387451,47205272.0,115.7342,,,70.2869491577148,79.7161712646484,310813856.0,4.28758,100.104759216309,80.53365
LMC,2004,,13.638090133667,42601732.0,115.9566,,,70.6395416259766,81.323860168457,316732384.0,4.2249,101.3955078125,81.80227
LMC,2005,,12.4756202697754,39400224.0,116.4445,,,70.1684799194336,82.9451522827148,323661152.0,4.4247,102.483512878418,82.82935
LMC,2006,,11.8034496307373,37470388.0,116.5812,,,69.7419662475586,84.0970001220703,327267200.0,4.32073,103.09162902832,83.64591
LMC,2007,,9.81126976013184,31421036.0,115.4821,,,70.7866973876953,85.2895812988281,333460448.0,4.44959,104.123519897461,85.57255
LMC,2008,,10.1391401290894,32675838.0,113.8379,,,74.2358703613281,86.3272399902344,334496480.0,4.38748,103.792503356934,85.08569
LMC,2009,,10.3071603775024,33388072.0,108.4378,,,75.1075592041016,87.5503311157227,336190144.0,4.61961,103.78450012207,85.20267
LMC,2010,,9.85735988616943,32173672.0,110.6641,,,74.9704284667969,87.8163375854492,340372352.0,4.69971,104.283126831055,85.56855
LMC,2011,,9.94871997833252,32714266.0,107.7278,,,76.2197189331055,87.9500122070313,344920160.0,4.62202,104.89347076416,85.44397
LMC,2012,,9.42224979400635,31229170.0,106.2446,,,76.3180236816406,89.4282379150391,351022976.0,3.49164,105.908203125,85.96188
LMC,2013,88.25574,9.01210021972656,30218094.0,105.015,,82.1567064107138,78.3008880615234,90.1791229248047,355978464.0,3.09149,106.16529083252,86.03915
LMC,2014,88.42776,9.92337989807129,33557296.0,103.2571,,,82.3169021606445,91.2660522460938,353966016.0,2.64587,104.672927856445,86.41458
LMC,2015,88.13165,10.2552604675293,34970940.0,103.7627,,,83.0055389404297,91.4728164672852,355898080.0,2.171,104.367446899414,86.3574
LMC,2016,88.51671,9.90410995483398,34020304.0,104.5417,,89.5741171014733,80.4288864135742,91.0043792724609,367290208.0,2.08012,106.926788330078,86.73376
LMC,2017,88.65092,9.82205009460449,34011616.0,102.3031,,,83.1647033691406,90.6868362426758,367837984.0,2.01358,106.226097106934,86.64486
LMC,2018,88.88351,9.37808036804199,32696956.0,103.0871,,,81.3493270874023,90.5083465576172,351441984.0,1.96032,100.799926757813,86.9201
LMC,2019,,9.51253986358643,33376640.0,,,,85.5378036499023,90.3098373413086,352584928.0,,100.488822937012,
LMC,2020,,9.70207023620605,,,,,,91.5193710327148,,,,
LMY,2000,,16.4557991027832,96008976.0,107.1325,,,74.2311477661133,79.9508438110352,574640704.0,5.72274,98.4925765991211,81.80105
LMY,2001,,16.0493392944336,92311664.0,108.5848,,,75.6044769287109,80.782341003418,571648320.0,5.49619,99.3869934082031,82.05026
LMY,2002,,15.5769500732422,88653224.0,110.4364,,,74.4687805175781,81.4960632324219,567834176.0,5.50604,99.7721786499023,82.34478
LMY,2003,,14.0383701324463,79321824.0,113.0258,,,73.3014526367188,82.2908782958984,573440704.0,5.37458,101.487510681152,83.78825
LMY,2004,,12.6471500396729,73729344.0,111.7951,,,72.9341888427734,82.8979721069336,594519104.0,5.26807,101.980728149414,85.04631
LMY,2005,,11.7926301956177,69004832.0,112.6518,,,71.8878326416016,83.8445510864258,598433920.0,5.20988,102.269790649414,85.72567
LMY,2006,,11.4430599212646,67246760.0,111.6249,,,72.6561126708984,84.3564987182617,601300800.0,5.10579,102.320518493652,86.16867
LMY,2007,,9.97492027282715,58962652.0,112.2528,,,73.7005310058594,85.3718032836914,609506816.0,5.12537,103.112380981445,87.51534
LMY,2008,,9.78332996368408,58023308.0,112.4322,,,75.9031372070313,87.1442565917969,613874624.0,4.96555,103.50562286377,87.72813
LMY,2009,89.12796,9.90600967407227,58959360.0,108.7456,,,75.5919418334961,87.9340362548828,615485376.0,5.10638,103.410316467285,87.75058
LMY,2010,88.96532,9.7802095413208,58839572.0,109.5366,,,75.3505020141602,87.685661315918,618280000.0,5.06526,102.769416809082,87.78454
LMY,2011,89.04424,9.78026008605957,59056408.0,108.8128,,,75.4860382080078,87.1972885131836,623358080.0,4.98568,103.233612060547,87.83409
LMY,2012,89.36552,9.46271991729736,57471144.0,107.942,,,73.9580917358398,87.9777603149414,631658688.0,4.39831,104.003646850586,88.20426
LMY,2013,89.58973,9.15122985839844,56010868.0,107.3234,,,73.7956771850586,88.0854721069336,638100480.0,4.12437,104.254791259766,88.21766
LMY,2014,89.75451,9.63671016693115,59621352.0,106.2643,,,78.6425094604492,87.7988662719727,636510912.0,3.78957,102.880470275879,88.45404
LMY,2015,89.57126,9.91504955291748,61915196.0,105.8838,,,79.4297409057617,87.4334487915039,640162624.0,3.47368,102.515098571777,88.34511
LMY,2016,89.7551,9.73223972320557,61300824.0,106.7656,,,78.309440612793,87.7247009277344,656906560.0,3.37487,104.291839599609,88.5774
LMY,2017,89.73741,9.68830013275146,61604440.0,105.6505,,,80.4011764526367,88.0489196777344,662593856.0,3.38332,104.20369720459,88.43887
LMY,2018,89.76124,9.40639019012451,60368600.0,105.8697,,,79.3477478027344,88.3360595703125,651802112.0,3.34122,101.561180114746,88.60731
LMY,2019,,9.48917007446289,61442656.0,,,,81.6777267456055,88.529541015625,659153344.0,,101.799293518066,
LMY,2020,,9.61610984802246,,,,,,89.0899429321289,,,,
